Jurisdiction,Initiatives,Initiatives_Bin,Pandemic_Funding,Funding_Bin
Alabama,6,4-6,453,>100
Alaska,2,1-3,0,0
Arizona,4,4-6,0,0
Arkansas,3,1-3,10,<50
California,9,>6,0,0
Colorado,9,>6,0,0
Connecticut,6,4-6,164.5,>100
Delaware,3,1-3,20,<50
District of Columbia,0,0,0,0
Florida,1,1-3,0,0
Georgia,8,>6,0,0
Hawaii,7,>6,0,0
Idaho,6,4-6,100,50-100
Illinois,3,1-3,0,0
Indiana,6,4-6,0,0
Iowa,4,4-6,85,50-100
Kansas,5,4-6,130,>100
Kentucky,4,4-6,0,0
Louisiana,0,0,0,0
Maine,8,>6,0,0
Maryland,6,4-6,0,0
Massachusetts,9,>6,0,0
Michigan,6,4-6,0,0
Minnesota,5,4-6,0,0
Mississippi,0,0,275,>100
Missouri,6,4-6,97.75,50-100
Montana,1,1-3,0,0
Nebraska,5,4-6,0,0
Nevada,6,4-6,50,<50
New Hampshire,2,1-3,50,<50
New Jersey,0,0,0,0
New Mexico,6,4-6,1.5,<50
New York,4,4-6,0,0
North Carolina,7,>6,56.672,50-100
North Dakota,3,1-3,23.9,<50
Ohio,0,0,50,<50
Oklahoma,2,1-3,0,0
Oregon,7,>6,0,0
Pennsylvania,6,4-6,0,0
Puerto Rico,1,1-3,80,50-100
Rhode Island,3,1-3,0,0
South Carolina,0,0,50,<50
South Dakota,3,1-3,0,0
Tennessee,5,4-6,122,>100
Texas,0,0,200,>100
Utah,6,4-6,0,0
Vermont,8,>6,34.9,<50
Virginia,16,>6,30,<50
Washington,3,1-3,0,0
West Virginia,7,>6,50,<50
Wisconsin,6,4-6,0,0
Wyoming,7,>6,55,50-100
National,4.615384615,4-6,42.10042308,<50
